city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
bria,cf,2017-08-23 09:51:16,21.99,6.54,75.95,87.0,68.0,3.83
buarcos,pt,2017-08-23 09:00:00,-8.88,40.17,71.6,68.0,20.0,13.87
buchanan,lr,2017-08-23 09:30:00,-10.05,5.88,78.8,88.0,75.0,10.29
buenos aires,cr,2017-08-23 09:51:17,-83.33,9.17,78.2,98.0,36.0,2.59
bujumbura,bi,2017-08-23 09:51:17,29.36,-3.38,65.78,85.0,0.0,4.38
bukama,cd,2017-08-23 09:51:17,25.85,-9.2,78.65,44.0,0.0,5.39
bulawayo,zw,2017-08-23 09:51:18,28.58,-20.15,53.18,25.0,0.0,5.28
bull savanna,jm,2017-08-23 09:51:18,-77.59,17.89,87.2,60.0,24.0,5.5
bur gabo,so,2017-08-23 09:51:18,45.53,9.52,82.16,38.0,20.0,14.79
buraydah,sa,2017-08-23 09:00:00,43.98,26.33,105.8,19.0,5.0,17.22
burica,pa,2017-08-23 09:00:00,-82.87,8.38,86.0,66.0,20.0,6.93
busselton,au,2017-08-23 09:51:19,115.33,-33.65,51.92,100.0,0.0,13.44
butembo,cd,2017-08-23 09:51:19,29.28,0.15,64.7,91.0,48.0,2.26
caazapa,py,2017-08-23 09:51:20,-56.4,-26.15,87.02,48.0,0.0,11.99
cabedelo,br,2017-08-23 09:00:00,-34.83,-6.98,82.4,65.0,75.0,18.34
cacu,br,2017-08-23 09:51:20,-51.13,-18.56,83.51,59.0,0.0,11.65
calama,cl,2017-08-23 09:00:00,-68.93,-22.47,66.2,6.0,0.0,9.17
calvinia,za,2017-08-23 09:51:21,19.78,-31.47,43.1,71.0,0.0,5.39
camabatela,ao,2017-08-23 09:51:21,15.38,-8.19,68.3,77.0,12.0,4.16
camacha,pt,2017-08-23 09:00:00,-16.33,33.08,80.6,73.0,40.0,18.34
candelaria,br,2017-08-23 09:51:22,-52.79,-29.67,79.55,58.0,32.0,7.18
cap malheureux,mu,2017-08-23 09:00:00,57.61,-19.98,73.4,83.0,40.0,8.05
cape town,za,2017-08-23 09:00:00,18.42,-33.93,55.4,76.0,75.0,10.29
carauari,br,2017-08-23 09:51:22,-66.9,-4.88,90.44,58.0,12.0,1.14
caravelas,br,2017-08-23 09:51:23,-39.25,-17.71,72.26,100.0,92.0,23.17
carnarvon,au,2017-08-23 09:51:23,113.63,-24.87,66.86,95.0,92.0,10.98
carquefou,fr,2017-08-23 09:00:00,-1.49,47.3,77.0,50.0,0.0,9.17
cartagena,co,2017-08-23 09:00:00,-75.51,10.4,87.8,70.0,40.0,4.7
cascais,pt,2017-08-23 09:00:00,-9.42,38.7,84.2,64.0,20.0,12.75
castro,cl,2017-08-23 09:51:24,-73.77,-42.47,43.82,100.0,92.0,21.72
cayenne,gf,2017-08-23 09:00:00,-52.33,4.93,89.6,59.0,20.0,9.17
cervo,es,2017-08-23 09:51:25,-7.41,43.67,67.49,100.0,92.0,9.86
chapais,ca,2017-08-23 09:14:00,-74.85,49.78,53.6,93.0,90.0,12.75
chicama,pe,2017-08-23 09:00:00,-79.15,-7.84,64.4,82.0,90.0,9.17
chililabombwe,zm,2017-08-23 09:51:25,27.82,-12.36,64.52,47.0,0.0,7.63
chimbote,pe,2017-08-23 09:51:26,-78.58,-9.09,66.77,80.0,20.0,6.85
chimore,bo,2017-08-23 09:51:26,-65.13,-16.98,92.24,31.0,0.0,5.5
chore,py,2017-08-23 09:51:26,-56.5,-24.25,87.11,52.0,0.0,7.63
chuy,uy,2017-08-23 09:51:27,-53.46,-33.7,73.34,73.0,0.0,13.67
cidreira,br,2017-08-23 09:51:27,-50.21,-30.18,74.87,72.0,0.0,13.44
clinton,us,2017-08-23 09:16:00,-82.92,42.59,75.2,46.0,40.0,14.99
clyde river,ca,2017-08-23 09:00:00,-68.59,70.47,37.4,93.0,90.0,3.36
cockburn harbour,tc,2017-08-23 09:51:28,-71.58,21.73,83.96,100.0,8.0,13.67
cockburn town,tc,2017-08-23 09:46:37,-71.14,21.46,83.96,100.0,8.0,13.67
cockburn town,bs,2017-08-23 09:51:28,-74.52,24.03,84.59,94.0,32.0,14.79
codrington,ag,2017-08-23 08:58:00,-2.42,51.5,69.8,68.0,40.0,19.46
coihaique,cl,2017-08-23 09:00:00,-72.07,-45.58,33.8,100.0,90.0,4.7
comarapa,bo,2017-08-23 09:51:29,-64.48,-17.9,76.67,33.0,0.0,13.89
comodoro rivadavia,ar,2017-08-23 09:00:00,-67.5,-45.87,50.0,43.0,0.0,18.34
conde,br,2017-08-23 09:00:00,-34.91,-7.26,82.4,65.0,75.0,18.34
coquimbo,cl,2017-08-23 09:00:00,-71.34,-29.95,59.0,72.0,75.0,9.17
coracao de jesus,br,2017-08-23 09:51:30,-44.37,-16.69,81.17,37.0,56.0,15.23
cumaru,br,2017-08-23 09:51:30,-35.7,-8.01,78.56,64.0,0.0,13.44
cururupu,br,2017-08-23 09:51:31,-44.87,-1.83,84.32,83.0,24.0,8.63
dahuk,iq,2017-08-23 09:51:31,42.99,36.87,77.84,48.0,0.0,4.61
dalvik,is,2017-08-23 09:00:00,-18.53,65.97,53.6,76.0,20.0,13.87
dangriga,bz,2017-08-23 09:00:00,-88.23,16.97,80.6,83.0,20.0,4.7
darnah,ly,2017-08-23 09:51:32,22.64,32.77,78.38,100.0,56.0,9.42
dehloran,ir,2017-08-23 09:51:32,47.27,32.69,95.66,22.0,32.0,9.53
denizli,tr,2017-08-23 08:50:00,29.07,37.84,78.8,41.0,0.0,11.41
dharchula,in,2017-08-23 09:51:33,80.53,29.85,55.34,100.0,92.0,1.25
dhari,in,2017-08-23 09:51:33,71.02,21.33,74.42,96.0,8.0,6.17
diamantino,br,2017-08-23 09:51:33,-56.45,-14.41,93.86,35.0,0.0,10.42
diego de almagro,cl,2017-08-23 09:51:33,-70.05,-26.37,65.24,80.0,32.0,3.71
dikson,ru,2017-08-23 09:51:34,80.55,73.51,39.32,100.0,76.0,24.07
dingle,ie,2017-08-23 09:51:34,-10.27,52.14,58.85,96.0,92.0,17.36
dunkwa,gh,2017-08-23 09:51:34,-1.78,5.97,79.01,82.0,76.0,3.71
east london,za,2017-08-23 09:00:00,27.91,-33.02,55.4,71.0,0.0,16.11
el alto,pe,2017-08-23 09:00:00,-81.21,-4.27,71.6,73.0,40.0,14.99
elblag,pl,2017-08-23 09:00:00,19.41,54.15,60.8,63.0,20.0,14.99
emirdag,tr,2017-08-23 09:51:35,31.15,39.02,63.53,61.0,0.0,4.5
eregli,tr,2017-08-23 09:51:36,34.05,37.51,65.51,65.0,0.0,3.49
eskasem,af,2017-08-23 09:51:36,71.61,36.72,34.1,91.0,0.0,1.48
fasa,ir,2017-08-23 09:00:00,53.65,28.94,84.2,18.0,0.0,2.71
filadelfia,py,2017-08-23 09:51:36,-60.03,-22.35,94.85,35.0,0.0,27.31
flic en flac,mu,2017-08-23 09:00:00,57.36,-20.27,73.4,83.0,40.0,8.05
fomboni,km,2017-08-23 09:51:37,43.74,-12.28,78.02,100.0,20.0,4.61
galle,lk,2017-08-23 09:51:37,80.22,6.04,80.81,88.0,92.0,11.43
gamba,ga,2017-08-23 09:51:38,10.0,-2.65,80.27,65.0,80.0,8.86
gamboma,cg,2017-08-23 09:51:38,15.86,-1.88,73.97,88.0,8.0,5.17
gandajika,cd,2017-08-23 09:51:38,23.95,-6.75,76.04,79.0,12.0,3.71
gat,ly,2017-08-23 09:20:00,24.76,60.15,59.0,72.0,75.0,12.75
general roca,ar,2017-08-23 09:00:00,-67.58,-39.03,57.2,28.0,0.0,16.11
georgetown,sh,2017-08-23 08:50:00,-14.42,-7.93,77.0,69.0,20.0,17.22
gibara,cu,2017-08-23 08:50:00,-76.13,21.11,89.6,55.0,75.0,8.05
gloucester,us,2017-08-23 09:15:00,-70.66,42.62,82.4,47.0,20.0,11.41
gobabis,na,2017-08-23 09:00:00,18.97,-22.45,86.0,9.0,0.0,3.36
goderich,sl,2017-08-23 09:00:00,-13.29,8.43,82.4,74.0,75.0,12.75
gondar,et,2017-08-23 09:51:40,37.47,12.6,62.99,99.0,92.0,1.25
gorahun,sl,2017-08-23 09:51:40,-11.24,7.47,74.06,100.0,92.0,5.61
grand gaube,mu,2017-08-23 09:00:00,57.66,-20.01,73.4,83.0,40.0,8.05
grand river south east,mu,2017-08-23 09:00:00,57.78,-20.29,73.4,83.0,40.0,8.05
gravdal,no,2017-08-23 08:50:00,13.5,68.12,51.8,93.0,75.0,2.24
grindavik,is,2017-08-23 09:00:00,-22.43,63.84,59.0,58.0,0.0,6.93
guiratinga,br,2017-08-23 09:51:42,-53.76,-16.35,94.49,28.0,0.0,14.79
gwembe,zm,2017-08-23 09:51:42,27.61,-16.5,64.25,61.0,0.0,0.92
